,Valor
1128,3413.5923573854197
1129,3413.5923573854197
1130,9999999.0
1131,2655.537181664466
1132,3117.497447909336
1133,3117.497447909336
1134,3289.1291361833064
1135,3440.491053288574
1136,3482.264393477306
1137,3482.264393477306
1138,3325.696879575984
1139,3325.696879575984
1140,9999999.0
1141,2800.6274176924458
1142,3262.587683937315
1143,3262.587683937315
1144,3434.2193722112856
1145,3585.581289316553
1146,3627.3546295052847
1147,3627.3546295052847
1148,3470.787115603963
1149,3470.787115603963
1150,9999999.0
1151,2742.872930794792
1152,3152.0116425825863
1153,3152.0116425825863
1154,3323.6433308565565
1155,3475.0052479618244
1156,3516.778588150556
1157,3516.778588150556
1158,3394.779477071042
1159,3394.779477071042
1160,9999999.0
1161,2362.123894888825
1162,2771.262606676619
1163,2771.262606676619
1164,2942.8942949505895
1165,3094.256212055857
1166,3136.0295522445886
1167,3136.0295522445886
1168,3014.030441165075
1169,3014.030441165075
1170,9999999.0
1171,2373.0092931896634
1172,2782.1480049774573
1173,2782.1480049774573
1174,2953.779693251428
1175,3105.1416103566953
1176,3146.914950545427
1177,3146.914950545427
1178,3024.9158394659135
1179,3024.9158394659135
1180,9999999.0
1181,2666.105349463863
1182,3075.2440612516575
1183,3075.2440612516575
1184,3246.8757495256277
1185,3398.2376666308955
1186,3440.0110068196273
1187,3440.0110068196273
1188,3318.0118957401132
1189,3318.0118957401132
1190,9999999.0
1191,2908.508168770515
1192,3323.051757094685
1193,3323.051757094685
1194,3494.683445368655
1195,3646.045362473923
1196,3687.8187026626547
1197,3687.8187026626547
1198,3565.8195915831407
1199,3565.8195915831407
1200,9999999.0
1201,2607.916947977708
1202,3017.0556597655022
1203,3017.0556597655022
1204,3188.6873480394725
1205,3340.0492651447403
1206,3381.822605333472
1207,3381.822605333472
1208,3259.823494253958
1209,3259.823494253958
1210,9999999.0
1211,2473.3704252477323
1212,2882.5091370355267
1213,2882.5091370355267
1214,3054.140825309497
1215,3205.5027424147647
1216,3247.2760826034964
1217,3247.2760826034964
1218,3125.2769715239824
1219,3125.2769715239824
1220,9999999.0
1221,2717.735067724632
1222,3126.873779512426
1223,3126.873779512426
1224,3298.5054677863964
1225,3449.867384891664
1226,3491.640725080396
1227,3491.640725080396
1228,3369.641614000882
1229,3369.641614000882
1230,9999999.0
1231,2712.787980731785
1232,3152.1795503255353
1233,3152.1795503255353
1234,3323.8112385995055
1235,3475.1731557047733
1236,3516.946495893505
1237,3516.946495893505
1238,3382.9476786433024
1239,3382.9476786433024
1240,9999999.0
1241,2490.5093251683866
1242,2899.6480369561805
1243,2899.6480369561805
1244,3071.279725230151
1245,3222.6416423354185
1246,3264.41498252415
1247,3264.41498252415
1248,3142.4158714446367
1249,3142.4158714446367
1250,9999999.0
1251,2418.4323902842593
1252,2827.5711020720537
1253,2827.5711020720537
1254,2999.202790346024
1255,3150.5647074512917
1256,3192.3380476400234
1257,3192.3380476400234
1258,3070.3389365605094
1259,3070.3389365605094
1260,9999999.0
1261,2204.9760947183267
1262,2666.9363609631964
1263,2666.9363609631964
1264,2838.568049237167
1265,2989.9299663424345
1266,3031.703306531166
1267,3031.703306531166
1268,2875.135792629845
1269,2875.135792629845
1270,9999999.0
1271,2948.555057110923
1272,3357.6937688987173
1273,3357.6937688987173
1274,3529.3254571726875
1275,3680.6873742779553
1276,3722.460714466687
1277,3722.460714466687
1278,3600.461603387173
1279,3600.461603387173
1280,9999999.0
1281,2217.723069515421
1282,2683.798041395934
1283,2683.798041395934
1284,2855.4297296699046
1285,3006.791646775172
1286,3048.5649869639037
1287,3048.5649869639037
1288,2887.8827674269387
1289,2887.8827674269387
1290,9999999.0
1291,2716.4907590604266
1292,3125.629470848221
1293,3125.629470848221
1294,3297.261159122191
1295,3448.623076227459
1296,3490.3964164161907
1297,3490.3964164161907
1298,3368.3973053366767
1299,3368.3973053366767
1300,9999999.0
1301,2109.8721775401914
1302,2568.4493617405515
1303,2568.4493617405515
1304,2740.081050014522
1305,2891.4429671197895
1306,2933.216307308521
1307,2933.216307308521
1308,2780.0318754517093
1309,2780.0318754517093
1310,9999999.0
1311,2908.508168770515
1312,3323.051757094685
1313,3323.051757094685
1314,3494.683445368655
1315,3646.045362473923
1316,3687.8187026626547
1317,3687.8187026626547
1318,3565.8195915831407
1319,3565.8195915831407
1320,9999999.0
1321,2512.05419030029
1322,2974.014456545159
1323,2974.014456545159
1324,3145.64614481913
1325,3297.008061924397
1326,3338.781402113129
1327,3338.781402113129
1328,3182.213888211808
1329,3182.213888211808
1330,9999999.0
